#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   152    0.44081E+04   -0.42149E+02    0.13463E-05   -0.42149E+02    0.94097E+00   -0.39403E-08    0.13463E-05   -0.39403E-08    0.23170E-11
   153    0.44398E+04   -0.41976E+02    0.13262E-05   -0.41976E+02    0.93303E+00   -0.38838E-08    0.13262E-05   -0.38838E-08    0.22705E-11
   154    0.44712E+04   -0.41777E+02    0.13066E-05   -0.41777E+02    0.92482E+00   -0.38315E-08    0.13066E-05   -0.38315E-08    0.22251E-11
   155    0.45023E+04   -0.41551E+02    0.12873E-05   -0.41551E+02    0.91632E+00   -0.37830E-08    0.12873E-05   -0.37830E-08    0.21808E-11
   156    0.45330E+04   -0.41298E+02    0.12683E-05   -0.41298E+02    0.90754E+00   -0.37380E-08    0.12683E-05   -0.37380E-08    0.21376E-11
   157    0.45635E+04   -0.41017E+02    0.12497E-05   -0.41017E+02    0.89849E+00   -0.36962E-08    0.12497E-05   -0.36962E-08    0.20955E-11
   158    0.45937E+04   -0.40708E+02    0.12315E-05   -0.40708E+02    0.88925E+00   -0.36571E-08    0.12315E-05   -0.36571E-08    0.20544E-11
   159    0.46234E+04   -0.40372E+02    0.12135E-05   -0.40372E+02    0.87968E+00   -0.36204E-08    0.12135E-05   -0.36204E-08    0.20144E-11
   160    0.46529E+04   -0.40008E+02    0.11959E-05   -0.40008E+02    0.86992E+00   -0.35858E-08    0.11959E-05   -0.35858E-08    0.19753E-11
   161    0.46821E+04   -0.39616E+02    0.11786E-05   -0.39616E+02    0.86007E+00   -0.35529E-08    0.11786E-05   -0.35529E-08    0.19372E-11
   162    0.47109E+04   -0.39197E+02    0.11617E-05   -0.39197E+02    0.84998E+00   -0.35212E-08    0.11617E-05   -0.35212E-08    0.19001E-11
   163    0.47394E+04   -0.38750E+02    0.11450E-05   -0.38750E+02    0.83972E+00   -0.34906E-08    0.11450E-05   -0.34906E-08    0.18639E-11
   164    0.47675E+04   -0.38275E+02    0.11287E-05   -0.38275E+02    0.82938E+00   -0.34605E-08    0.11287E-05   -0.34605E-08    0.18285E-11
   165    0.47953E+04   -0.37772E+02    0.11126E-05   -0.37772E+02    0.81889E+00   -0.34307E-08    0.11126E-05   -0.34307E-08    0.17941E-11
   166    0.48227E+04   -0.37241E+02    0.10969E-05   -0.37241E+02    0.80840E+00   -0.34007E-08    0.10969E-05   -0.34007E-08    0.17604E-11
   167    0.48497E+04   -0.36683E+02    0.10814E-05   -0.36683E+02    0.79770E+00   -0.33703E-08    0.10814E-05   -0.33703E-08    0.17276E-11
   168    0.48763E+04   -0.36096E+02    0.10662E-05   -0.36096E+02    0.78716E+00   -0.33391E-08    0.10662E-05   -0.33391E-08    0.16956E-11
   169    0.49024E+04   -0.35480E+02    0.10513E-05   -0.35480E+02    0.77650E+00   -0.33066E-08    0.10513E-05   -0.33066E-08    0.16644E-11
   170    0.49282E+04   -0.34837E+02    0.10366E-05   -0.34837E+02    0.76593E+00   -0.32725E-08    0.10366E-05   -0.32725E-08    0.16338E-11
   171    0.49534E+04   -0.34164E+02    0.10222E-05   -0.34164E+02    0.75547E+00   -0.32366E-08    0.10222E-05   -0.32366E-08    0.16041E-11
   172    0.49781E+04   -0.33464E+02    0.10081E-05   -0.33464E+02    0.74505E+00   -0.31984E-08    0.10081E-05   -0.31984E-08    0.15750E-11
   173    0.50023E+04   -0.32736E+02    0.99420E-06   -0.32736E+02    0.73467E+00   -0.31575E-08    0.99420E-06   -0.31575E-08    0.15465E-11
   174    0.50261E+04   -0.31979E+02    0.98055E-06   -0.31979E+02    0.72464E+00   -0.31136E-08    0.98055E-06   -0.31136E-08    0.15187E-11
   175    0.50494E+04   -0.31195E+02    0.96713E-06   -0.31195E+02    0.71466E+00   -0.30663E-08    0.96713E-06   -0.30663E-08    0.14915E-11
   176    0.50720E+04   -0.30382E+02    0.95394E-06   -0.30382E+02    0.70497E+00   -0.30154E-08    0.95394E-06   -0.30154E-08    0.14650E-11
