#    L    TT             EE             TE             PP             TP          
   292    0.43848E+04    0.80406E+01    0.11786E+03    0.18155E+07    0.13672E+04
   293    0.43512E+04    0.82140E+01    0.11845E+03    0.18083E+07    0.13557E+04
   294    0.43173E+04    0.83898E+01    0.11902E+03    0.18010E+07    0.13443E+04
   295    0.42836E+04    0.85662E+01    0.11955E+03    0.17939E+07    0.13329E+04
   296    0.42495E+04    0.87449E+01    0.12004E+03    0.17867E+07    0.13217E+04
   297    0.42153E+04    0.89237E+01    0.12050E+03    0.17796E+07    0.13105E+04
   298    0.41810E+04    0.91046E+01    0.12092E+03    0.17726E+07    0.12994E+04
   299    0.41466E+04    0.92870E+01    0.12129E+03    0.17656E+07    0.12883E+04
   300    0.41121E+04    0.94695E+01    0.12163E+03    0.17586E+07    0.12774E+04
   301    0.40775E+04    0.96534E+01    0.12193E+03    0.17517E+07    0.12665E+04
   302    0.40429E+04    0.98380E+01    0.12220E+03    0.17448E+07    0.12557E+04
   303    0.40083E+04    0.10024E+02    0.12243E+03    0.17379E+07    0.12450E+04
   304    0.39736E+04    0.10212E+02    0.12261E+03    0.17311E+07    0.12344E+04
   305    0.39389E+04    0.10399E+02    0.12275E+03    0.17243E+07    0.12238E+04
   306    0.39041E+04    0.10588E+02    0.12286E+03    0.17176E+07    0.12134E+04
   307    0.38694E+04    0.10777E+02    0.12292E+03    0.17109E+07    0.12030E+04
   308    0.38346E+04    0.10968E+02    0.12296E+03    0.17042E+07    0.11926E+04
   309    0.37999E+04    0.11158E+02    0.12294E+03    0.16976E+07    0.11824E+04
   310    0.37652E+04    0.11349E+02    0.12289E+03    0.16910E+07    0.11722E+04
   311    0.37305E+04    0.11541E+02    0.12280E+03    0.16845E+07    0.11621E+04
   312    0.36960E+04    0.11733E+02    0.12267E+03    0.16780E+07    0.11521E+04
   313    0.36614E+04    0.11925E+02    0.12250E+03    0.16715E+07    0.11422E+04
   314    0.36269E+04    0.12118E+02    0.12230E+03    0.16650E+07    0.11323E+04
   315    0.35925E+04    0.12311E+02    0.12205E+03    0.16586E+07    0.11225E+04
   316    0.35582E+04    0.12504E+02    0.12176E+03    0.16523E+07    0.11128E+04
   317    0.35240E+04    0.12696E+02    0.12143E+03    0.16460E+07    0.11032E+04
   318    0.34899E+04    0.12890E+02    0.12106E+03    0.16397E+07    0.10936E+04
   319    0.34559E+04    0.13082E+02    0.12066E+03    0.16334E+07    0.10841E+04
   320    0.34221E+04    0.13275E+02    0.12022E+03    0.16272E+07    0.10747E+04
